n,beta,Itinerary_String
21,1.9985252787152,"[0, 10, 11, 12]"
21,1.9987728978841,"[0, 10, 11, 13]"
21,1.998896522247,"[0, 10, 11, 14]"
21,1.9989582976893,"[0, 10, 11, 15]"
21,1.9989891823775,"[0, 10, 11, 16]"
21,1.9990046273904,"[0, 10, 11, 17]"
21,1.9990123523672,"[0, 10, 11, 18]"
21,1.9990162163975,"[0, 10, 11, 19]"
21,1.9990181492662,"[0, 10, 11, 20]"
21,1.9982774085958,"[0, 10, 12, 13]"
21,1.9984017108228,"[0, 10, 12, 14]"
21,1.9984638398853,"[0, 10, 12, 15]"
21,1.9984949089161,"[0, 10, 12, 16]"
21,1.9985104499216,"[0, 10, 12, 17]"
21,1.9985182248218,"[0, 10, 12, 18]"
21,1.9985221147826,"[0, 10, 12, 19]"
21,1.9985240611026,"[0, 10, 12, 20]"
21,1.998153149909,"[0, 10, 13, 14]"
21,1.9982154653108,"[0, 10, 13, 15]"
21,1.998246631325,"[0, 10, 13, 16]"
21,1.9982622227593,"[0, 10, 13, 17]"
21,1.9982700238517,"[0, 10, 13, 18]"
21,1.9982739274003,"[0, 10, 13, 19]"
21,1.998275880761,"[0, 10, 13, 20]"
21,1.9980909028623,"[0, 10, 14, 15]"
21,1.998122119603,"[0, 10, 14, 16]"
21,1.9981377373768,"[0, 10, 14, 17]"
21,1.9981455521318,"[0, 10, 14, 18]"
21,1.9981494627598,"[0, 10, 14, 19]"
21,1.9981514197848,"[0, 10, 14, 20]"
21,1.9980597330198,"[0, 10, 15, 16]"
21,1.9980753644999,"[0, 10, 15, 17]"
21,1.9980831863558,"[0, 10, 15, 18]"
21,1.998087100659,"[0, 10, 15, 19]"
21,1.9980890595842,"[0, 10, 15, 20]"
21,1.9980441284416,"[0, 10, 16, 17]"
21,1.998051953979,"[0, 10, 16, 18]"
21,1.9980558701855,"[0, 10, 16, 19]"
21,1.9980578300938,"[0, 10, 16, 20]"
21,1.9980363172898,"[0, 10, 17, 18]"
21,1.9980402344803,"[0, 10, 17, 19]"
21,1.9980421948963,"[0, 10, 17, 20]"
21,1.9980324075456,"[0, 10, 18, 19]"
21,1.9980343682236,"[0, 10, 18, 20]"
