n,beta,Itinerary_String
11,1.9477510318175,"[0, 5, 6, 7]"
11,1.9579400327287,"[0, 5, 6, 8]"
11,1.9628847766781,"[0, 5, 6, 9]"
11,1.9653333620668,"[0, 5, 6, 10]"
11,1.937536873138,"[0, 5, 7, 8]"
11,1.9431679805662,"[0, 5, 7, 9]"
11,1.9459706983932,"[0, 5, 7, 10]"
11,1.9320594407626,"[0, 5, 8, 9]"
11,1.9351070986983,"[0, 5, 8, 10]"
11,1.9291526211803,"[0, 5, 9, 10]"
11,1.9758949620427,"[0, 6, 7, 8]"
11,1.9803971347746,"[0, 6, 7, 9]"
11,1.9826133482663,"[0, 6, 7, 10]"
11,1.9713747484279,"[0, 6, 8, 9]"
11,1.9737401816475,"[0, 6, 8, 10]"
11,1.9690368923426,"[0, 6, 9, 10]"
11,1.9888459886237,"[0, 7, 8, 9]"
11,1.9909502929263,"[0, 7, 8, 10]"
11,1.9867334556015,"[0, 7, 9, 10]"
11,1.9950238635711,"[0, 8, 9, 10]"
11,1.5458950618353,"[0, 2, 3, 5, 7, 9]"
11,1.7782857429789,"[0, 3, 4, 5, 6, 8]"
11,1.790595042016,"[0, 3, 4, 5, 6, 9]"
11,1.7305484699742,"[0, 3, 4, 5, 7, 8]"
11,1.7479117652693,"[0, 3, 4, 5, 7, 9]"
11,1.7277058188295,"[0, 3, 4, 5, 8, 10]"
11,1.8084713809355,"[0, 3, 4, 6, 7, 8]"
11,1.8188298710659,"[0, 3, 4, 6, 7, 9]"
11,1.7994992525079,"[0, 3, 4, 6, 8, 9]"
11,1.8057164264679,"[0, 3, 4, 6, 8, 10]"
11,1.7942848573269,"[0, 3, 4, 6, 9, 10]"
11,1.8331547841505,"[0, 3, 4, 7, 8, 9]"
11,1.8380040108414,"[0, 3, 4, 7, 8, 10]"
11,1.8289677323771,"[0, 3, 4, 7, 9, 10]"
11,1.6489823491473,"[0, 3, 5, 6, 7, 8]"
11,1.6770855163374,"[0, 3, 5, 6, 7, 9]"
11,1.6260369215018,"[0, 3, 5, 6, 8, 9]"
11,1.6476504438974,"[0, 3, 5, 6, 8, 10]"
11,1.7031538113503,"[0, 3, 5, 7, 8, 9]"
11,1.7144423354269,"[0, 3, 5, 7, 8, 10]"
11,1.6944675879396,"[0, 3, 5, 7, 9, 10]"
11,1.896258408401,"[0, 4, 5, 6, 7, 8]"
11,1.903181380651,"[0, 4, 5, 6, 7, 9]"
11,1.9066683541073,"[0, 4, 5, 6, 7, 10]"
11,1.8897628134148,"[0, 4, 5, 6, 8, 9]"
11,1.8936304160994,"[0, 4, 5, 6, 8, 10]"
11,1.8862182983087,"[0, 4, 5, 6, 9, 10]"
11,1.914474826127,"[0, 4, 5, 7, 8, 9]"
11,1.917714867628,"[0, 4, 5, 7, 8, 10]"
11,1.9114399112343,"[0, 4, 5, 7, 9, 10]"
11,1.9232542853904,"[0, 4, 5, 8, 9, 10]"
11,1.8650412420405,"[0, 4, 6, 7, 8, 9]"
11,1.8695590120998,"[0, 4, 6, 7, 8, 10]"
11,1.8609939806667,"[0, 4, 6, 7, 9, 10]"
11,1.8766085216942,"[0, 4, 6, 8, 9, 10]"
11,1.8462558765538,"[0, 4, 7, 8, 9, 10]"
11,1.9530520457825,"[0, 5, 6, 7, 8, 9]"
11,1.9556832589886,"[0, 5, 6, 7, 8, 10]"
11,1.9504952602089,"[0, 5, 6, 7, 9, 10]"
11,1.9604847957487,"[0, 5, 6, 8, 9, 10]"
11,1.9404689955195,"[0, 5, 7, 8, 9, 10]"
11,1.9781893165409,"[0, 6, 7, 8, 9, 10]"
11,1.4531247546919,"[0, 2, 3, 4, 5, 6, 7, 9]"
11,1.4966051649382,"[0, 2, 3, 4, 5, 7, 8, 9]"
11,1.4777087463236,"[0, 2, 3, 4, 5, 7, 9, 10]"
11,1.578601206221,"[0, 2, 3, 5, 6, 7, 8, 9]"
11,1.5658662317794,"[0, 2, 3, 5, 6, 7, 9, 10]"
11,1.6134101239811,"[0, 2, 3, 5, 6, 8, 9, 10]"
11,1.5302091523368,"[0, 2, 3, 5, 7, 8, 9, 10]"
11,1.7678729034349,"[0, 3, 4, 5, 6, 7, 8, 9]"
11,1.7754995327574,"[0, 3, 4, 5, 6, 7, 8, 10]"
11,1.7616561469608,"[0, 3, 4, 5, 6, 7, 9, 10]"
