n,beta,Itinerary_String
20,1.9990200839655,"[0, 11]"
20,1.9995122035998,"[0, 12]"
20,1.9997573857901,"[0, 13]"
20,1.9998797364059,"[0, 14]"
20,1.9999408461797,"[0, 15]"
20,1.9999713833018,"[0, 16]"
20,1.9999866470696,"[0, 17]"
20,1.9999942776649,"[0, 18]"
20,1.9999980926168,"[0, 19]"
20,1.9747816963976,"[0, 6, 8, 14]"
20,1.9701211318184,"[0, 6, 9, 14]"
20,1.9702021718486,"[0, 6, 9, 15]"
20,1.967689863118,"[0, 6, 10, 14]"
20,1.9677730897286,"[0, 6, 10, 15]"
20,1.9664340799914,"[0, 6, 11, 14]"
20,1.9665185180254,"[0, 6, 11, 15]"
20,1.9665614178525,"[0, 6, 11, 16]"
20,1.9917355272336,"[0, 7, 8, 13]"
20,1.9918671004501,"[0, 7, 8, 14]"
20,1.9919330743869,"[0, 7, 8, 15]"
20,1.9875461385115,"[0, 7, 9, 13]"
20,1.9876831425409,"[0, 7, 9, 14]"
20,1.9877519800734,"[0, 7, 9, 15]"
20,1.9877865866553,"[0, 7, 9, 16]"
20,1.9853873599817,"[0, 7, 10, 13]"
20,1.9855274203188,"[0, 7, 10, 14]"
20,1.9855978674429,"[0, 7, 10, 15]"
20,1.9856333209429,"[0, 7, 10, 16]"
20,1.9842847066135,"[0, 7, 11, 13]"
20,1.9844264391491,"[0, 7, 11, 14]"
20,1.9844977655091,"[0, 7, 11, 15]"
20,1.984533681005,"[0, 7, 11, 16]"
20,1.9845517715507,"[0, 7, 11, 17]"
20,1.9837245525009,"[0, 7, 12, 13]"
20,1.9838671843528,"[0, 7, 12, 14]"
20,1.9839389827531,"[0, 7, 12, 15]"
20,1.9839751459055,"[0, 7, 12, 16]"
20,1.983993366263,"[0, 7, 12, 17]"
20,1.9840025479702,"[0, 7, 12, 18]"
20,1.9835840171305,"[0, 7, 13, 14]"
20,1.9836560663142,"[0, 7, 13, 15]"
20,1.9836923608384,"[0, 7, 13, 16]"
20,1.9837106499601,"[0, 7, 13, 17]"
20,1.9837198676237,"[0, 7, 13, 18]"
20,1.9837245137421,"[0, 7, 13, 19]"
20,1.9955325710412,"[0, 8, 9, 12]"
20,1.9957867349216,"[0, 8, 9, 13]"
20,1.9959138082371,"[0, 8, 9, 14]"
20,1.995977399659,"[0, 8, 9, 15]"
20,1.9960092390632,"[0, 8, 9, 16]"
20,1.9960251851018,"[0, 8, 9, 17]"
20,1.9934932499119,"[0, 8, 10, 12]"
20,1.9937524371862,"[0, 8, 10, 13]"
