n,beta,Itinerary_String
19,1.9980314291105,"[0, 10]"
19,1.999022017651,"[0, 11]"
19,1.9995141244532,"[0, 12]"
19,1.9997593000534,"[0, 13]"
19,1.999881647274,"[0, 14]"
19,1.9999427552963,"[0, 15]"
19,1.9999732915149,"[0, 16]"
19,1.9999885548167,"[0, 17]"
19,1.9999961851718,"[0, 18]"
19,1.9306049997642,"[0, 5, 9, 14]"
19,1.9834455347745,"[0, 6, 7, 13]"
19,1.9746315319392,"[0, 6, 8, 13]"
19,1.9747842363363,"[0, 6, 8, 14]"
19,1.9699639244297,"[0, 6, 9, 13]"
19,1.970123822886,"[0, 6, 9, 14]"
19,1.9702048595394,"[0, 6, 9, 15]"
19,1.967528622772,"[0, 6, 10, 13]"
19,1.9676926405249,"[0, 6, 10, 14]"
19,1.9677758635412,"[0, 6, 10, 15]"
19,1.9662706016927,"[0, 6, 11, 13]"
19,1.9664369050569,"[0, 6, 11, 14]"
19,1.966521339372,"[0, 6, 11, 15]"
19,1.9665642372506,"[0, 6, 11, 16]"
19,1.991474983469,"[0, 7, 8, 12]"
19,1.9917376277111,"[0, 7, 8, 13]"
19,1.9918691968847,"[0, 7, 8, 14]"
19,1.9919351687285,"[0, 7, 8, 15]"
19,1.9872754103554,"[0, 7, 9, 12]"
19,1.9875483489195,"[0, 7, 9, 13]"
19,1.9876853484926,"[0, 7, 9, 14]"
19,1.9877541837138,"[0, 7, 9, 15]"
19,1.9877887890966,"[0, 7, 9, 16]"
19,1.9851108908077,"[0, 7, 10, 12]"
19,1.9853896320613,"[0, 7, 10, 13]"
19,1.9855296876983,"[0, 7, 10, 14]"
19,1.9856001323824,"[0, 7, 10, 15]"
19,1.9856355846154,"[0, 7, 10, 16]"
19,1.9840050900324,"[0, 7, 11, 12]"
19,1.9842870122433,"[0, 7, 11, 13]"
19,1.9844287399415,"[0, 7, 11, 14]"
19,1.9845000637893,"[0, 7, 11, 15]"
19,1.9845359779798,"[0, 7, 11, 16]"
19,1.9845540678474,"[0, 7, 11, 17]"
19,1.9837268760537,"[0, 7, 12, 13]"
19,1.9838695029931,"[0, 7, 12, 14]"
19,1.9839412988415,"[0, 7, 12, 15]"
19,1.9839774606678,"[0, 7, 12, 16]"
19,1.9839956803362,"[0, 7, 12, 17]"
19,1.9840048616855,"[0, 7, 12, 18]"
19,1.983586345203,"[0, 7, 13, 14]"
19,1.9836583918136,"[0, 7, 13, 15]"
19,1.9836946850004,"[0, 7, 13, 16]"
19,1.9837129734271,"[0, 7, 13, 17]"
19,1.9837221907298,"[0, 7, 13, 18]"
19,1.995025385539,"[0, 8, 9, 11]"
19,1.9955345863227,"[0, 8, 9, 12]"
19,1.9957887429958,"[0, 8, 9, 13]"
19,1.9959158125921,"[0, 8, 9, 14]"
19,1.9959794020921,"[0, 8, 9, 15]"
19,1.9960112405029,"[0, 8, 9, 16]"
19,1.9960271860283,"[0, 8, 9, 17]"
19,1.9929765351581,"[0, 8, 10, 11]"
19,1.9934953177397,"[0, 8, 10, 12]"
19,1.9937544974464,"[0, 8, 10, 13]"
19,1.9938842037413,"[0, 8, 10, 14]"
19,1.9939491769386,"[0, 8, 10, 15]"
19,1.9939817407331,"[0, 8, 10, 16]"
19,1.9939980659994,"[0, 8, 10, 17]"
