n,beta,Itinerary_String
18,1.9980353427624,"[0, 10]"
18,1.9990258829473,"[0, 11]"
18,1.9995179650457,"[0, 12]"
18,1.9997631279396,"[0, 13]"
18,1.999885468605,"[0, 14]"
18,1.9999465732418,"[0, 15]"
18,1.9999771077116,"[0, 16]"
18,1.9999923701107,"[0, 17]"
18,1.9362804123332,"[0, 5, 8, 13]"
18,1.9303885174023,"[0, 5, 9, 13]"
18,1.9831702488061,"[0, 6, 7, 12]"
18,1.9834500857412,"[0, 6, 7, 13]"
18,1.9743342417781,"[0, 6, 8, 12]"
18,1.97463655848,"[0, 6, 8, 13]"
18,1.9747892518501,"[0, 6, 8, 14]"
18,1.9696533831706,"[0, 6, 9, 12]"
18,1.9699692381007,"[0, 6, 9, 13]"
18,1.9701291242652,"[0, 6, 9, 14]"
18,1.9672104823946,"[0, 6, 10, 12]"
18,1.9675341005295,"[0, 6, 10, 13]"
18,1.9676981052269,"[0, 6, 10, 14]"
18,1.9677813214028,"[0, 6, 10, 15]"
18,1.9659482366455,"[0, 6, 11, 12]"
18,1.9662761701041,"[0, 6, 11, 13]"
18,1.9664424599749,"[0, 6, 11, 14]"
18,1.9665268872167,"[0, 6, 11, 15]"
18,1.966569781385,"[0, 6, 11, 16]"
18,1.9909539992516,"[0, 7, 8, 11]"
18,1.9914791818735,"[0, 7, 8, 12]"
18,1.9917418110946,"[0, 7, 8, 13]"
18,1.9918733724924,"[0, 7, 8, 14]"
18,1.9919393403058,"[0, 7, 8, 15]"
18,1.9867351026063,"[0, 7, 9, 11]"
18,1.9872798199039,"[0, 7, 9, 12]"
18,1.9875527419719,"[0, 7, 9, 13]"
18,1.987689732991,"[0, 7, 9, 14]"
18,1.9877585637705,"[0, 7, 9, 15]"
18,1.9845596665928,"[0, 7, 10, 11]"
18,1.9851154188835,"[0, 7, 10, 12]"
18,1.98539414277,"[0, 7, 10, 13]"
18,1.9855341893941,"[0, 7, 10, 14]"
18,1.9856046293939,"[0, 7, 10, 15]"
18,1.9856400791915,"[0, 7, 10, 16]"
18,1.9840096826591,"[0, 7, 11, 12]"
18,1.9842915870121,"[0, 7, 11, 13]"
18,1.9844333054388,"[0, 7, 11, 14]"
18,1.9845046244658,"[0, 7, 11, 15]"
18,1.9845405361487,"[0, 7, 11, 16]"
18,1.9845586247124,"[0, 7, 11, 17]"
18,1.9837314850811,"[0, 7, 12, 13]"
18,1.9838741026074,"[0, 7, 12, 14]"
18,1.9839458935602,"[0, 7, 12, 15]"
18,1.9839820528394,"[0, 7, 12, 16]"
18,1.984000271183,"[0, 7, 12, 17]"
18,1.9835909628682,"[0, 7, 13, 14]"
18,1.9836630045428,"[0, 7, 13, 15]"
18,1.9836992951614,"[0, 7, 13, 16]"
18,1.9837175822521,"[0, 7, 13, 17]"
18,1.9940062434587,"[0, 8, 9, 10]"
18,1.9950294338319,"[0, 8, 9, 11]"
18,1.995538607687,"[0, 8, 9, 12]"
18,1.9957927504898,"[0, 8, 9, 13]"
18,1.9959198129185,"[0, 8, 9, 14]"
18,1.9959833987104,"[0, 8, 9, 15]"
18,1.9960152352025,"[0, 8, 9, 16]"
18,1.9929806853819,"[0, 8, 10, 11]"
18,1.9934994397344,"[0, 8, 10, 12]"
18,1.9937586048909,"[0, 8, 10, 13]"
18,1.993888303661,"[0, 8, 10, 14]"
18,1.9939532729619,"[0, 8, 10, 15]"
18,1.9939858347384,"[0, 8, 10, 16]"
18,1.99400215896,"[0, 8, 10, 17]"
18,1.9924631247947,"[0, 8, 11, 12]"
18,1.9927250258753,"[0, 8, 11, 13]"
18,1.9928561579361,"[0, 8, 11, 14]"
18,1.9929218781442,"[0, 8, 11, 15]"
18,1.9929548330099,"[0, 8, 11, 16]"
18,1.9929713627621,"[0, 8, 11, 17]"
18,1.9922025064633,"[0, 8, 12, 13]"
18,1.9923344052262,"[0, 8, 12, 14]"
18,1.9924005264007,"[0, 8, 12, 15]"
18,1.9924336908377,"[0, 8, 12, 16]"
18,1.9924503300133,"[0, 8, 12, 17]"
