orbit,Itinerary_String,roots
19,"[0, 4, 5, 6, 8, 9, 11, 13, 16, 17]","[1.8892946417049272, 1.0366378396255396]"
19,"[0, 4, 5, 6, 8, 9, 11, 13, 17, 18]","[1.8892729812158837, 1.038686467337737]"
19,"[0, 4, 5, 6, 8, 9, 12, 13, 14, 15]","[1.888299965575152, 1.08742093158724]"
19,"[0, 4, 5, 6, 8, 9, 12, 13, 14, 16]","[1.8883879792040967, 1.042041129171966]"
19,"[0, 4, 5, 6, 8, 9, 12, 13, 15, 16]","[1.8882216893878516, 1.0904535838532419]"
19,"[0, 4, 5, 6, 8, 9, 12, 13, 15, 17]","[1.888268367407872, 1.0476627247172685]"
19,"[0, 4, 5, 6, 8, 9, 12, 13, 16, 17]","[1.8881802006791726, 1.0933024917409042]"
19,"[0, 4, 5, 6, 8, 9, 12, 13, 16, 18]","[1.8882049418087918, 1.0538527795202062]"
19,"[0, 4, 5, 6, 8, 9, 12, 13, 17, 18]","[1.8881582176105445, 1.0959470211383753]"
19,"[0, 4, 5, 6, 8, 9, 12, 14, 15, 16]","[1.8885354002863735, 1.0394199672365223]"
19,"[0, 4, 5, 6, 8, 9, 12, 14, 16, 17]","[1.8884940909136794, 1.0418254980782125]"
19,"[0, 4, 5, 6, 8, 9, 12, 14, 17, 18]","[1.8884722065619248, 1.0443145274797438]"
19,"[0, 4, 5, 6, 8, 9, 13, 15, 16, 17]","[1.8880673735586848, 1.0479695564889338]"
19,"[0, 4, 5, 6, 8, 9, 13, 15, 17, 18]","[1.8880453637499208, 1.0509343043149377]"
19,"[0, 4, 5, 6, 8, 10, 11, 12, 14, 15]","[1.8927282916279267, 1.0276165531666395]"
19,"[0, 4, 5, 6, 8, 10, 11, 12, 15, 16]","[1.8926537888552928, 1.0289875706052962]"
19,"[0, 4, 5, 6, 8, 10, 12, 13, 14, 15]","[1.8922220995282948, 1.0291164306590317]"
19,"[0, 4, 5, 6, 8, 10, 12, 13, 15, 16]","[1.892147161295076, 1.0306233632449038]"
19,"[0, 4, 5, 6, 8, 10, 12, 13, 16, 17]","[1.892107525859005, 1.0322090631624135]"
19,"[0, 4, 5, 6, 8, 10, 12, 13, 17, 18]","[1.8920865688652277, 1.0338660022189454]"
19,"[0, 4, 5, 6, 8, 10, 13, 14, 15, 16]","[1.891878337297503, 1.0323751018819907]"
19,"[0, 4, 5, 6, 8, 10, 13, 14, 16, 17]","[1.8918385675486369, 1.0341139364247145]"
19,"[0, 4, 5, 6, 8, 10, 13, 14, 17, 18]","[1.8918175365097771, 1.03592790507328]"
19,"[0, 4, 5, 6, 9, 10, 11, 12, 13, 15]","[1.8855737265093633, 1.0374112032020024]"
19,"[0, 4, 5, 6, 9, 10, 11, 12, 14, 15]","[1.885250812794257, 1.088544359080933]"
19,"[0, 4, 5, 6, 9, 10, 11, 12, 14, 16]","[1.885341800148573, 1.0424409471894889]"
19,"[0, 4, 5, 6, 9, 10, 11, 12, 15, 16]","[1.885170166156116, 1.091664655880135]"
19,"[0, 4, 5, 6, 9, 10, 11, 12, 15, 17]","[1.8852185017620269, 1.048210159771048]"
19,"[0, 4, 5, 6, 9, 10, 11, 12, 16, 18]","[1.8851530125851368, 1.0545776774345352]"
19,"[0, 4, 5, 6, 9, 10, 11, 13, 14, 15]","[1.885858621478397, 1.035126185636117]"
19,"[0, 4, 5, 6, 9, 10, 11, 13, 15, 16]","[1.8857785995543197, 1.0372418803508223]"
19,"[0, 4, 5, 6, 9, 10, 11, 13, 16, 17]","[1.885736129759859, 1.0394676312820381]"
19,"[0, 4, 5, 6, 9, 10, 11, 13, 17, 18]","[1.8857135974208827, 1.04178331578648]"
19,"[0, 4, 5, 6, 9, 10, 12, 13, 14, 15]","[1.8847092524499762, 1.0926325486378925]"
19,"[0, 4, 5, 6, 9, 10, 12, 13, 14, 16]","[1.8848008726438241, 1.045697294211607]"
19,"[0, 4, 5, 6, 9, 10, 12, 13, 15, 16]","[1.884628093767513, 1.0959063270635747]"
19,"[0, 4, 5, 6, 9, 10, 12, 13, 15, 17]","[1.884676780109716, 1.0521171120561006]"
19,"[0, 4, 5, 6, 9, 10, 12, 13, 16, 17]","[1.8845849937252306, 1.0989580695774466]"
19,"[0, 4, 5, 6, 9, 10, 12, 13, 16, 18]","[1.8846108494951053, 1.0591081260569326]"
19,"[0, 4, 5, 6, 9, 10, 12, 13, 17, 18]","[1.8845621128405536, 1.1017675717597921]"
19,"[0, 4, 5, 6, 9, 10, 12, 14, 15, 16]","[1.8849534143718936, 1.042687910774952]"
19,"[0, 4, 5, 6, 9, 10, 12, 14, 16, 17]","[1.8849105085127105, 1.045429626589233]"
19,"[0, 4, 5, 6, 9, 10, 12, 14, 17, 18]","[1.8848877347132835, 1.0482538738001848]"
19,"[0, 4, 5, 6, 9, 10, 13, 14, 15, 16]","[1.8843392116637607, 1.0999783551728461]"
19,"[0, 4, 5, 6, 9, 10, 13, 14, 15, 17]","[1.8843880936598394, 1.056255166226537]"
19,"[0, 4, 5, 6, 9, 10, 13, 14, 16, 17]","[1.8842959524046545, 1.1031249412605408]"
19,"[0, 4, 5, 6, 9, 10, 13, 14, 16, 18]","[1.8843219161606366, 1.0638161728414965]"
19,"[0, 4, 5, 6, 9, 10, 13, 14, 17, 18]","[1.884272983421709, 1.1060019441334143]"
19,"[0, 4, 5, 6, 9, 10, 13, 15, 16, 17]","[1.8844694798864794, 1.0525016148617656]"
19,"[0, 4, 5, 6, 9, 10, 13, 15, 17, 18]","[1.8844465704435953, 1.0558553769075414]"
19,"[0, 4, 5, 6, 9, 10, 14, 16, 17, 18]","[1.8842115182660046, 1.0643595538983572]"
19,"[0, 4, 5, 6, 9, 11, 12, 13, 14, 15]","[1.886865668699087, 1.0329410657617686]"
19,"[0, 4, 5, 6, 9, 11, 12, 13, 15, 16]","[1.886786536741611, 1.0348315848698857]"
19,"[0, 4, 5, 6, 9, 11, 12, 13, 16, 17]","[1.886744562179125, 1.0368224143620477]"
19,"[0, 4, 5, 6, 9, 11, 12, 13, 17, 18]","[1.8867223046343828, 1.0388990513345882]"
19,"[0, 4, 5, 6, 9, 11, 13, 14, 15, 16]","[1.8865042410592285, 1.0370627912147867]"
19,"[0, 4, 5, 6, 9, 11, 13, 14, 16, 17]","[1.8864621158671644, 1.0392599799996873]"
19,"[0, 4, 5, 6, 9, 11, 13, 14, 17, 18]","[1.8864397750584068, 1.0415445155738459]"
19,"[0, 4, 5, 6, 9, 11, 14, 15, 16, 17]","[1.8863120212399522, 1.0418559091205]"
19,"[0, 4, 5, 6, 9, 11, 14, 15, 17, 18]","[1.8862896342455682, 1.0443515324601722]"
19,"[0, 4, 5, 6, 10, 12, 13, 14, 15, 16]","[1.8835641140770716, 1.0429624204551398]"
19,"[0, 4, 5, 6, 10, 12, 13, 14, 16, 17]","[1.8835205629362932, 1.0457503551341092]"
19,"[0, 4, 5, 6, 10, 12, 13, 14, 17, 18]","[1.8834974293795477, 1.0486241068766422]"
19,"[0, 4, 5, 6, 10, 12, 14, 15, 16, 17]","[1.8833658641030606, 1.0490858819150177]"
19,"[0, 4, 5, 6, 10, 12, 14, 15, 17, 18]","[1.8833426809866722, 1.0522168869943898]"
19,"[0, 4, 5, 6, 10, 12, 15, 16, 17, 18]","[1.8832603912012535, 1.0559337863963427]"
19,"[0, 4, 5, 7, 8, 9, 10, 11, 14, 15]","[1.9145323125729021, 1.0225372064618412]"
19,"[0, 4, 5, 7, 8, 9, 11, 12, 14, 15]","[1.9137093750091005, 1.0235622486600593]"
19,"[0, 4, 5, 7, 8, 9, 11, 12, 15, 16]","[1.9136477754242542, 1.024572924692457]"
19,"[0, 4, 5, 7, 8, 9, 11, 12, 16, 17]","[1.9136155659034657, 1.0256319882962817]"
19,"[0, 4, 5, 7, 8, 9, 12, 13, 14, 15]","[1.9132769172942927, 1.0246525647563476]"
19,"[0, 4, 5, 7, 8, 9, 12, 13, 15, 16]","[1.9132150169558946, 1.0257497973812777]"
19,"[0, 4, 5, 7, 8, 9, 12, 13, 16, 17]","[1.913182642734784, 1.026900073287529]"
19,"[0, 4, 5, 7, 8, 9, 12, 13, 17, 18]","[1.9131657151362096, 1.0281003629006282]"
19,"[0, 4, 5, 7, 8, 9, 13, 14, 15, 16]","[1.9129880709337548, 1.0269995201730227]"
19,"[0, 4, 5, 7, 9, 10, 11, 12, 14, 15]","[1.910654399961107, 1.02473935895591]"
19,"[0, 4, 5, 7, 9, 10, 11, 12, 15, 16]","[1.910590945624902, 1.025847908875877]"
19,"[0, 4, 5, 7, 9, 10, 11, 12, 16, 17]","[1.9105577124823185, 1.0270107925162384]"
19,"[0, 4, 5, 7, 9, 10, 12, 13, 14, 15]","[1.9102110290749388, 1.0259400783633592]"
19,"[0, 4, 5, 7, 9, 10, 12, 13, 15, 16]","[1.910147255699064, 1.0271476451753243]"
19,"[0, 4, 5, 7, 9, 10, 12, 13, 16, 17]","[1.9101138475750843, 1.028414819357648]"
19,"[0, 4, 5, 7, 9, 10, 12, 13, 17, 18]","[1.9100963510883868, 1.0297375332817096]"
19,"[0, 4, 5, 7, 9, 10, 13, 14, 15, 16]","[1.90991417957098, 1.0285309110892575]"
19,"[0, 4, 5, 7, 9, 10, 13, 14, 16, 17]","[1.9098806749832635, 1.0299094983445678]"
19,"[0, 4, 5, 7, 9, 10, 13, 14, 17, 18]","[1.909863125811746, 1.0313473178581356]"
19,"[0, 4, 5, 7, 9, 10, 14, 15, 16, 17]","[1.909758344985384, 1.031492849351159]"
19,"[0, 4, 5, 7, 10, 11, 12, 13, 14, 15]","[1.9085795633825384, 1.027329732330763]"
19,"[0, 4, 5, 7, 10, 11, 12, 13, 15, 16]","[1.908514710702193, 1.02865926103008]"
19,"[0, 4, 5, 7, 10, 11, 12, 13, 16, 17]","[1.9084807076800785, 1.0300552678029413]"
19,"[0, 4, 5, 7, 10, 11, 12, 13, 17, 18]","[1.9084628842606914, 1.031512256866703]"
19,"[0, 4, 5, 7, 10, 11, 13, 14, 15, 16]","[1.9082780875965377, 1.0301909808835221]"
19,"[0, 4, 5, 7, 10, 11, 13, 14, 16, 17]","[1.908243984619586, 1.0317138195982487]"
19,"[0, 4, 5, 7, 10, 11, 13, 14, 17, 18]","[1.9082261065652217, 1.0333012221454347]"
19,"[0, 4, 5, 7, 10, 11, 14, 15, 16, 17]","[1.9081196808243468, 1.033472432857969]"
19,"[0, 4, 5, 7, 10, 11, 14, 15, 17, 18]","[1.9081017728315532, 1.0351953704853984]"
19,"[0, 4, 5, 7, 10, 11, 15, 16, 17, 18]","[1.9080365361700617, 1.03718464009884]"
19,"[0, 4, 5, 7, 11, 12, 13, 14, 15, 16]","[1.907412042529125, 1.0319851302561869]"
19,"[0, 4, 5, 7, 11, 12, 13, 14, 16, 17]","[1.9073776020356306, 1.0336651232190146]"
19,"[0, 4, 5, 7, 11, 12, 13, 14, 17, 18]","[1.9073595387626465, 1.0354140746821772]"
19,"[0, 4, 6, 7, 8, 9, 10, 11, 13, 15]","[1.8654515687326807, 1.0352435292177185]"
19,"[0, 4, 6, 7, 8, 9, 10, 11, 14, 15]","[1.865070971916185, 1.0857237629188583]"
19,"[0, 4, 6, 7, 8, 9, 10, 11, 14, 16]","[1.8651805747742118, 1.039825365435074]"
19,"[0, 4, 6, 7, 8, 9, 10, 12, 14, 15]","[1.8663883481771246, 1.0312439308061652]"
19,"[0, 4, 6, 7, 8, 9, 10, 12, 15, 16]","[1.8662949300693352, 1.0329808239206173]"
19,"[0, 4, 6, 7, 8, 9, 11, 12, 13, 15]","[1.864302288184668, 1.0377422347160548]"
19,"[0, 4, 6, 7, 8, 9, 11, 12, 14, 15]","[1.863916683929318, 1.090078902254224]"
19,"[0, 4, 6, 7, 8, 9, 11, 12, 14, 16]","[1.8640278693066752, 1.0429122134737958]"
19,"[0, 4, 6, 7, 8, 9, 11, 12, 15, 16]","[1.8638204827191218, 1.0933366985592694]"
19,"[0, 4, 6, 7, 8, 9, 11, 12, 15, 17]","[1.8638802433745805, 1.0488711542909477]"
19,"[0, 4, 6, 7, 8, 9, 11, 12, 16, 18]","[1.8638009122119108, 1.0554752100116245]"
19,"[0, 4, 6, 7, 8, 9, 11, 13, 14, 15]","[1.8646340741829448, 1.0354017691082926]"
19,"[0, 4, 6, 7, 8, 9, 11, 13, 15, 16]","[1.8645387644784392, 1.0375671614291035]"
19,"[0, 4, 6, 7, 8, 9, 11, 13, 16, 17]","[1.8644875958153526, 1.03984939337744]"
19,"[0, 4, 6, 7, 8, 9, 12, 13, 14, 15]","[1.8632921367592263, 1.0943688266417062]"
19,"[0, 4, 6, 7, 8, 9, 12, 13, 14, 16]","[1.863404227301773, 1.0462786945505131]"
19,"[0, 4, 6, 7, 8, 9, 12, 13, 15, 16]","[1.8631952211004854, 1.0977947067653127]"
19,"[0, 4, 6, 7, 8, 9, 12, 13, 15, 17]","[1.863255489454737, 1.0529347243187863]"
19,"[0, 4, 6, 7, 8, 9, 12, 13, 16, 17]","[1.863143151613715, 1.1009855449979467]"
19,"[0, 4, 6, 7, 8, 9, 12, 13, 16, 18]","[1.8631755327858954, 1.0602116409438038]"
19,"[0, 4, 6, 7, 8, 9, 12, 14, 15, 16]","[1.8635842066788841, 1.0431697723891273]"
19,"[0, 4, 6, 7, 8, 9, 12, 14, 16, 17]","[1.8635324216151314, 1.045998542538913]"
19,"[0, 4, 6, 7, 8, 9, 12, 14, 17, 18]","[1.8635046164834101, 1.0489176774326883]"
19,"[0, 4, 6, 7, 8, 10, 11, 12, 14, 15]","[1.8684850335762877, 1.0294185461759189]"
19,"[0, 4, 6, 7, 8, 10, 11, 12, 15, 16]","[1.8683936793923253, 1.0309722923692761]"
19,"[0, 4, 6, 7, 8, 10, 12, 13, 14, 15]","[1.8678876648778604, 1.0311291618478013]"
19,"[0, 4, 6, 7, 8, 10, 12, 13, 15, 16]","[1.8677956691925406, 1.0328476831701068]"
19,"[0, 4, 6, 7, 8, 10, 12, 13, 16, 17]","[1.8677463678864292, 1.034659930757687]"
19,"[0, 4, 6, 7, 8, 10, 13, 14, 15, 16]","[1.8674739523626345, 1.034865283496963]"
19,"[0, 4, 6, 7, 8, 10, 13, 14, 16, 17]","[1.8674244475786501, 1.0368637698275691]"
19,"[0, 4, 6, 7, 8, 10, 13, 14, 17, 18]","[1.8673979230153341, 1.0389494373942827]"
19,"[0, 4, 6, 7, 9, 10, 11, 12, 13, 15]","[1.8602293117308177, 1.0408429079638168]"
19,"[0, 4, 6, 7, 9, 10, 11, 12, 14, 15]","[1.859827103247268, 1.0957804813085577]"
19,"[0, 4, 6, 7, 9, 10, 11, 12, 14, 16]","[1.8599435965911146, 1.0468103819200651]"
19,"[0, 4, 6, 7, 9, 10, 11, 12, 15, 16]","[1.8597267786284395, 1.0993190203486924]"
19,"[0, 4, 6, 7, 9, 10, 11, 12, 15, 17]","[1.8597895355858052, 1.0536747196643999]"
19,"[0, 4, 6, 7, 9, 10, 11, 12, 16, 18]","[1.8597065574898695, 1.0611973182432257]"
19,"[0, 4, 6, 7, 9, 10, 11, 13, 14, 15]","[1.860573680017025, 1.0381451593413522]"
19,"[0, 4, 6, 7, 9, 10, 11, 13, 15, 16]","[1.8604743288772019, 1.040625163846719]"
19,"[0, 4, 6, 7, 9, 10, 11, 13, 16, 17]","[1.8604208713144117, 1.0432375948937866]"
19,"[0, 4, 6, 7, 9, 10, 12, 13, 14, 15]","[1.859179994720232, 1.1005184510538786]"
19,"[0, 4, 6, 7, 9, 10, 12, 13, 14, 16]","[1.8592974771313702, 1.0507515153497187]"
19,"[0, 4, 6, 7, 9, 10, 12, 13, 15, 16]","[1.8590788928735753, 1.104231713625373]"
19,"[0, 4, 6, 7, 9, 10, 12, 13, 15, 17]","[1.8591422058273914, 1.0584273501104982]"
19,"[0, 4, 6, 7, 9, 10, 12, 13, 16, 17]","[1.8590244511941048, 1.1076581025950247]"
19,"[0, 4, 6, 7, 9, 10, 12, 13, 16, 18]","[1.8590585453784456, 1.0666859354053675]"
19,"[0, 4, 6, 7, 9, 10, 12, 14, 15, 16]","[1.8594847841502617, 1.047137144654843]"
19,"[0, 4, 6, 7, 9, 10, 12, 14, 16, 17]","[1.8594306546408088, 1.0503968039894198]"
19,"[0, 4, 6, 7, 9, 10, 12, 14, 17, 18]","[1.8594015256860583, 1.0537393089631952]"
19,"[0, 4, 6, 7, 9, 10, 13, 14, 15, 16]","[1.8587285291882047, 1.108914409979074]"
19,"[0, 4, 6, 7, 9, 10, 13, 14, 15, 17]","[1.8587921572658204, 1.0634484198844418]"
19,"[0, 4, 6, 7, 9, 10, 13, 14, 16, 17]","[1.8586738385583463, 1.1124383707378565]"
19,"[0, 4, 6, 7, 9, 10, 13, 14, 16, 18]","[1.8587081091090085, 1.0723438720894156]"
19,"[0, 4, 6, 7, 9, 10, 13, 14, 17, 18]","[1.8586443954210266, 1.1156212676498298]"
19,"[0, 4, 6, 7, 9, 10, 13, 15, 16, 17]","[1.8588936032278685, 1.0589463859913675]"
19,"[0, 4, 6, 7, 9, 10, 13, 15, 17, 18]","[1.8588642586909205, 1.0629146109491785]"
19,"[0, 4, 6, 7, 9, 11, 12, 13, 14, 15]","[1.8617570235399254, 1.0355744845224628]"
19,"[0, 4, 6, 7, 9, 11, 12, 13, 15, 16]","[1.8616589948129882, 1.0377704942837132]"
19,"[0, 4, 6, 7, 9, 11, 12, 13, 16, 17]","[1.8616062832549674, 1.0400873607525858]"
19,"[0, 4, 6, 7, 9, 11, 13, 14, 15, 16]","[1.861318370127063, 1.0403940461982721]"
19,"[0, 4, 6, 7, 9, 11, 13, 14, 16, 17]","[1.8612654259371548, 1.0429671833175247]"
19,"[0, 4, 6, 7, 9, 11, 13, 14, 17, 18]","[1.8612369633920025, 1.045639660938718]"
19,"[0, 4, 6, 7, 9, 11, 14, 15, 16, 17]","[1.8610817312631924, 1.0460424903933154]"
19,"[0, 4, 6, 7, 9, 11, 14, 15, 17, 18]","[1.8610531953486578, 1.0489716648565084]"
19,"[0, 4, 6, 7, 10, 11, 12, 13, 14, 15]","[1.85691490526225, 1.10673167340804]"
19,"[0, 4, 6, 7, 10, 11, 12, 13, 14, 16]","[1.857035632976817, 1.0557898723139607]"
19,"[0, 4, 6, 7, 10, 11, 12, 13, 15, 16]","[1.8568112793748892, 1.1106978777797598]"
19,"[0, 4, 6, 7, 10, 11, 12, 13, 15, 17]","[1.8568764243204514, 1.0645483675125431]"
19,"[0, 4, 6, 7, 10, 11, 12, 13, 16, 17]","[1.8567554086024034, 1.1143211562466662]"
19,"[0, 4, 6, 7, 10, 11, 12, 13, 16, 18]","[1.856790533353033, 1.073758133159842]"
19,"[0, 4, 6, 7, 10, 11, 12, 14, 15, 16]","[1.8572273619921353, 1.0516098870232091]"
19,"[0, 4, 6, 7, 10, 11, 12, 14, 16, 17]","[1.8571718209609012, 1.0553429725666097]"
19,"[0, 4, 6, 7, 10, 11, 12, 14, 17, 18]","[1.8571418954961558, 1.059134545368523]"
19,"[0, 4, 6, 7, 10, 11, 13, 14, 15, 16]","[1.8564530175111287, 1.115738154518702]"
19,"[0, 4, 6, 7, 10, 11, 13, 14, 15, 17]","[1.8565184954060414, 1.0703018389345538]"
19,"[0, 4, 6, 7, 10, 11, 13, 14, 16, 17]","[1.8563968843486294, 1.11944622036321]"
19,"[0, 4, 6, 7, 10, 11, 13, 14, 16, 18]","[1.856432195663598, 1.0801121007158496]"
19,"[0, 4, 6, 7, 10, 11, 13, 14, 17, 18]","[1.8563666269564343, 1.1227599514993414]"
19,"[0, 4, 6, 7, 10, 11, 13, 15, 16, 17]","[1.8566224829466016, 1.0652027946090585]"
19,"[0, 4, 6, 7, 10, 11, 13, 15, 17, 18]","[1.8565923299800533, 1.0696418771945477]"
19,"[0, 4, 6, 7, 10, 11, 14, 15, 16, 17]","[1.8562031225577238, 1.124149159419659]"
19,"[0, 4, 6, 7, 10, 11, 14, 15, 16, 18]","[1.856238538893304, 1.086341295364355]"
19,"[0, 4, 6, 7, 10, 11, 14, 15, 17, 18]","[1.856172781983407, 1.127479041727516]"
19,"[0, 4, 6, 7, 10, 11, 14, 16, 17, 18]","[1.856294787689745, 1.0809935544216251]"
19,"[0, 4, 6, 7, 10, 12, 13, 14, 15, 16]","[1.8578856538630188, 1.0475050611846202]"
19,"[0, 4, 6, 7, 10, 12, 13, 14, 16, 17]","[1.857830567850618, 1.050830407779535]"
19,"[0, 4, 6, 7, 10, 12, 13, 14, 17, 18]","[1.8578008982622578, 1.054242555264073]"
19,"[0, 4, 6, 7, 10, 12, 14, 15, 16, 17]","[1.8576401337144357, 1.0548586078904363]"
19,"[0, 4, 6, 7, 10, 12, 14, 15, 17, 18]","[1.8576103843201608, 1.0585783852312065]"
19,"[0, 4, 6, 7, 10, 12, 15, 16, 17, 18]","[1.8575076319733066, 1.0630349362136347]"
19,"[0, 4, 6, 8, 9, 10, 11, 12, 14, 15]","[1.8755960435078554, 1.0277063222114442]"
19,"[0, 4, 6, 8, 9, 10, 11, 12, 15, 16]","[1.8755106667120316, 1.0290908925219602]"
19,"[0, 4, 6, 8, 9, 10, 12, 13, 14, 15]","[1.8750314458571444, 1.0292215715611344]"
19,"[0, 4, 6, 8, 9, 10, 12, 13, 15, 16]","[1.8749455073384262, 1.0307449926607217]"
19,"[0, 4, 6, 8, 9, 10, 12, 13, 16, 17]","[1.8748996310529804, 1.0323493787233642]"
19,"[0, 4, 6, 8, 9, 10, 13, 14, 15, 16]","[1.8746427177906844, 1.0325182327305924]"
19,"[0, 4, 6, 8, 9, 10, 13, 14, 16, 17]","[1.8745966647815178, 1.0342796898556539]"
19,"[0, 4, 6, 8, 9, 10, 13, 14, 17, 18]","[1.8745720851583443, 1.0361188816070754]"
19,"[0, 4, 6, 8, 10, 11, 12, 13, 14, 15]","[1.8730250365686922, 1.0310089354233494]"
19,"[0, 4, 6, 8, 10, 11, 12, 13, 15, 16]","[1.8729372547166272, 1.0327079411542537]"
19,"[0, 4, 6, 8, 10, 11, 12, 13, 16, 17]","[1.8728903431017485, 1.034498089661978]"
19,"[0, 4, 6, 8, 10, 11, 13, 14, 15, 16]","[1.8726286162653571, 1.034699828810708]"
19,"[0, 4, 6, 8, 10, 11, 13, 14, 16, 17]","[1.8725815197863558, 1.0366714605424352]"
19,"[0, 4, 6, 8, 10, 11, 13, 14, 17, 18]","[1.872556355843713, 1.0387273460478608]"
19,"[0, 4, 6, 8, 10, 11, 14, 15, 16, 17]","[1.872416150366611, 1.0389877303861517]"
19,"[0, 4, 6, 8, 10, 11, 14, 15, 17, 18]","[1.872390928841901, 1.041234216861844]"
19,"[0, 4, 6, 8, 11, 12, 13, 14, 15, 16]","[1.871539106784334, 1.0370848518965365]"
19,"[0, 4, 6, 8, 11, 12, 13, 14, 16, 17]","[1.8714914063770787, 1.0392872376165798]"
19,"[0, 4, 6, 8, 11, 12, 13, 14, 17, 18]","[1.8714659047003255, 1.0415778947675733]"
19,"[0, 4, 6, 8, 11, 12, 14, 15, 16, 17]","[1.871324108105917, 1.0418904543686236]"
19,"[0, 4, 6, 8, 11, 12, 14, 15, 17, 18]","[1.871298547261422, 1.044393897693802]"
19,"[0, 4, 6, 8, 11, 12, 15, 16, 17, 18]","[1.8712089682503417, 1.0473429320211813]"
19,"[0, 4, 7, 8, 9, 10, 11, 12, 13, 15]","[1.8454019993737472, 1.044859159347074]"
19,"[0, 4, 7, 8, 9, 10, 11, 12, 14, 15]","[1.8449396499099977, 1.1036968548524733]"
19,"[0, 4, 7, 8, 9, 10, 11, 12, 14, 16]","[1.8450757716797956, 1.0519862422478357]"
19,"[0, 4, 7, 8, 9, 10, 11, 12, 15, 16]","[1.8448244182204894, 1.1076747258496233]"
19,"[0, 4, 7, 8, 9, 10, 11, 12, 15, 17]","[1.8448983647917159, 1.0601752964749356]"
19,"[0, 4, 7, 8, 9, 10, 11, 13, 14, 15]","[1.845790745885818, 1.0416484146482115]"
19,"[0, 4, 7, 8, 9, 10, 11, 13, 15, 16]","[1.8456768079165475, 1.0445754636206526]"
19,"[0, 4, 7, 8, 9, 10, 11, 13, 16, 17]","[1.8456149992421245, 1.0476593447387421]"
19,"[0, 4, 7, 8, 9, 10, 12, 13, 14, 15]","[1.8442138367590535, 1.1091487324918758]"
19,"[0, 4, 7, 8, 9, 10, 12, 13, 14, 16]","[1.844351276000591, 1.0567898094746353]"
19,"[0, 4, 7, 8, 9, 10, 12, 13, 15, 16]","[1.844097587279712, 1.1133160406102436]"
19,"[0, 4, 7, 8, 9, 10, 12, 13, 15, 17]","[1.84417228072854, 1.0659689099588405]"
19,"[0, 4, 7, 8, 9, 10, 12, 13, 16, 17]","[1.8440344686534123, 1.1171147777926285]"
19,"[0, 4, 7, 8, 9, 10, 12, 13, 16, 18]","[1.8440750260992642, 1.0756432745116558]"
19,"[0, 4, 7, 8, 9, 10, 12, 14, 15, 16]","[1.8445647822471947, 1.0524245138988149]"
19,"[0, 4, 7, 8, 9, 10, 12, 14, 16, 17]","[1.8445020864576471, 1.056314738496822]"
19,"[0, 4, 7, 8, 9, 10, 12, 14, 17, 18]","[1.8444680708469947, 1.0602721062289624]"
19,"[0, 4, 7, 8, 9, 10, 13, 14, 15, 16]","[1.8437010324291836, 1.1186418086724146]"
19,"[0, 4, 7, 8, 9, 10, 13, 14, 15, 17]","[1.843776153341589, 1.0720459499398045]"
19,"[0, 4, 7, 8, 9, 10, 13, 14, 16, 17]","[1.8436375819354878, 1.1225313204194882]"
19,"[0, 4, 7, 8, 9, 10, 13, 14, 16, 18]","[1.8436783806044938, 1.0823721063012939]"
19,"[0, 4, 7, 8, 9, 10, 13, 14, 17, 18]","[1.8436031403318598, 1.1259957680840935]"
19,"[0, 4, 7, 8, 9, 10, 13, 15, 16, 17]","[1.8438928522398146, 1.066673123459828]"
19,"[0, 4, 7, 8, 9, 10, 13, 15, 17, 18]","[1.8438585466047934, 1.0713347415009116]"
19,"[0, 4, 7, 8, 9, 11, 12, 13, 14, 15]","[1.847104146215381, 1.0385988493311415]"
19,"[0, 4, 7, 8, 9, 11, 12, 13, 15, 16]","[1.846991915987823, 1.0411659017047523]"
19,"[0, 4, 7, 8, 9, 11, 12, 13, 16, 17]","[1.8469310784288284, 1.043877320795774]"
19,"[0, 4, 7, 8, 9, 11, 13, 14, 15, 16]","[1.8466079178084884, 1.044273147195474]"
19,"[0, 4, 7, 8, 9, 11, 13, 14, 16, 17]","[1.846546773105196, 1.047302545567232]"
19,"[0, 4, 7, 8, 9, 11, 13, 14, 17, 18]","[1.8465136364882506, 1.050439820185389]"
19,"[0, 4, 7, 8, 9, 11, 14, 15, 16, 17]","[1.846337917723992, 1.0509660057747054]"
19,"[0, 4, 7, 8, 9, 11, 14, 15, 17, 18]","[1.8463046826041845, 1.054410898303785]"
19,"[0, 4, 7, 8, 10, 11, 12, 13, 14, 15]","[1.8417098763967874, 1.1164283957432757]"
19,"[0, 4, 7, 8, 10, 11, 12, 13, 14, 16]","[1.841851590862233, 1.0630670960488817]"
19,"[0, 4, 7, 8, 10, 11, 12, 13, 15, 16]","[1.8415903584767528, 1.1208756796756878]"
19,"[0, 4, 7, 8, 10, 11, 12, 13, 15, 17]","[1.8416674858288826, 1.0735753910602568]"
19,"[0, 4, 7, 8, 10, 11, 12, 13, 16, 17]","[1.8415253741202116, 1.12488163385682]"
19,"[0, 4, 7, 8, 10, 11, 12, 13, 16, 18]","[1.8415673120474185, 1.0843062012220888]"
19,"[0, 4, 7, 8, 10, 11, 12, 14, 15, 16]","[1.8420707712252065, 1.0579689538890074]"
19,"[0, 4, 7, 8, 10, 11, 12, 14, 16, 17]","[1.8420062365829635, 1.0624583475756106]"
